term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G2;1;THU;12:00;15:15;YPHSL Seminar Room 2-16;TAN SEOW HON;1;14/08/2023;19/11/2023;1283;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G3;1;TUE;19:00;22:15;YPHSL Seminar Room 3-02;ELGIN TAY;1;14/08/2023;19/11/2023;1311;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G4;1;MON;19:00;22:15;YPHSL Seminar Room 2-05;JACIE LIM LI ZHEN;1;14/08/2023;19/11/2023;1312;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G51;1;FRI;08:15;11:30;YPHSL Seminar Room 2-16;TAN SEOW HON;1;14/08/2023;19/11/2023;2089;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-09;NICK CHIAM;1;14/08/2023;19/11/2023;1282;
2023-24 Term 1 / 1;LAW302_632;Commercial Conflict of Laws;;G61;1;MON;12:00;15:15;YPHSL Seminar Room 2-05;YEO TIONG MIN;1;14/08/2023;19/11/2023;1596;
2023-24 Term 1 / 1;LAW307_637;Law of Evidence;;G1;1;MON;18:00;21:15;YPHSL Seminar Room 2-01;TAN BOON HENG;1;14/08/2023;19/11/2023;1313;
2023-24 Term 1 / 1;LAW307_637;Law of Evidence;;G2;1;WED;19:00;22:15;YPHSL Seminar Room 3-12;CHANG WEN YEE;1;14/08/2023;19/11/2023;1314;
2023-24 Term 1 / 1;LAW307_637;Law of Evidence;;G3;1;MON;12:00;15:15;YPHSL Seminar Room 3-01;CHEN SIYUAN;1;14/08/2023;19/11/2023;1315;
2023-24 Term 1 / 1;LAW307_637;Law of Evidence;;G4;1;WED;12:00;15:15;YPHSL Seminar Room 3-01;CHEN SIYUAN;1;14/08/2023;19/11/2023;1316;
2023-24 Term 1 / 1;LAW400;Directed Research;;G1;1;;;;;LAU KWAN HO;1;14/08/2023;03/12/2023;2805;
2023-24 Term 1 / 1;LAW400;Directed Research;;G2;1;;;;;DARIUS CHAN;1;14/08/2023;03/12/2023;2806;
2023-24 Term 1 / 1;LAW400;Directed Research;;G3;1;;;;;CHEN SIYUAN;1;14/08/2023;03/12/2023;2807;
2023-24 Term 1 / 1;LAW400;Directed Research;;G4;1;;;;;MAARTJE DE VISSER;1;14/08/2023;03/12/2023;2808;
2023-24 Term 1 / 1;LAW400;Directed Research;;G5;1;;;;;MARK MCLAUGHLIN;1;14/08/2023;03/12/2023;2818;
2023-24 Term 1 / 1;LAW400;Directed Research;;G6;1;;;;;ADELINE CHONG SWEE LING;1;14/08/2023;03/12/2023;2825;
2023-24 Term 1 / 1;LAW400;Directed Research;;G61;1;;;;;TANG HANG WU;1;14/08/2023;03/12/2023;2828;
2023-24 Term 1 / 1;LAW400;Directed Research;;G62;1;;;;;DAVID LLEWELYN;1;14/08/2023;03/12/2023;2829;
2023-24 Term 1 / 1;LAW401;Intellectual Property Law;;G1;1;MON;12:00;15:15;YPHSL Seminar Room 3-11;DAVID LLEWELYN;1;14/08/2023;19/11/2023;1603;
2023-24 Term 1 / 1;LAW401;Intellectual Property Law;;G61;1;MON;12:00;15:15;YPHSL Seminar Room 3-11;DAVID LLEWELYN;1;14/08/2023;19/11/2023;1604;
2023-24 Term 1 / 1;LAW4012;Entrepreneurship in Singapore;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-11;KYLE LEE;1;14/08/2023;19/11/2023;1676;
2023-24 Term 1 / 1;LAW4012;Entrepreneurship in Singapore;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-11;NG WAI KING;2;14/08/2023;19/11/2023;1676;
2023-24 Term 1 / 1;LAW4012;Entrepreneurship in Singapore;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-11;KYLE LEE;1;14/08/2023;19/11/2023;1677;
2023-24 Term 1 / 1;LAW4012;Entrepreneurship in Singapore;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-11;NG WAI KING;2;14/08/2023;19/11/2023;1677;
2023-24 Term 1 / 1;LAW4032;Law and Technology;;G1;1;THU;15:30;18:45;YPHSL Seminar Room 3-09;JERROLD SOH;1;14/08/2023;19/11/2023;1894;
2023-24 Term 1 / 1;LAW4032;Law and Technology;;G61;1;THU;15:30;18:45;YPHSL Seminar Room 3-09;JERROLD SOH;1;14/08/2023;19/11/2023;1895;
2023-24 Term 1 / 1;LAW4039;CB Projects in the Real World;SMU-X;G1;1;WED;15:30;18:45;SMUC Active Learning CR 4-2;CHAN WING CHEONG;1;14/08/2023;19/11/2023;2309;
2023-24 Term 1 / 1;LAW4039;CB Projects in the Real World;SMU-X;G1;1;WED;15:30;18:45;SMUC Active Learning CR 4-2;RUBY LEE;2;14/08/2023;19/11/2023;2309;
2023-24 Term 1 / 1;LAW4039;CB Projects in the Real World;SMU-X;G61;1;WED;15:30;18:45;SMUC Active Learning CR 4-2;CHAN WING CHEONG;1;14/08/2023;19/11/2023;2310;
2023-24 Term 1 / 1;LAW4039;CB Projects in the Real World;SMU-X;G61;1;WED;15:30;18:45;SMUC Active Learning CR 4-2;RUBY LEE;2;14/08/2023;19/11/2023;2310;
2023-24 Term 1 / 1;LAW405;IT and the Law;;G1;1;TUE;12:00;15:15;YPHSL Seminar Room 3-01;KAM WAI WARREN BARTHOLOMEW CHIK;1;14/08/2023;19/11/2023;1605;
2023-24 Term 1 / 1;LAW405;IT and the Law;;G61;1;TUE;12:00;15:15;YPHSL Seminar Room 3-01;KAM WAI WARREN BARTHOLOMEW CHIK;1;14/08/2023;19/11/2023;1606;
2023-24 Term 1 / 1A;LAW4054;SG Competition Policy and Law;;G1;1;MON;19:00;22:15;YPHSL Classroom 1-02;KEN CHIA;1;14/08/2023;01/10/2023;2317;
2023-24 Term 1 / 1A;LAW4054;SG Competition Policy and Law;;G61;1;MON;19:00;22:15;YPHSL Classroom 1-02;KEN CHIA;1;14/08/2023;01/10/2023;2318;
