term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2022-23 Term 1 / 1;LGST101;Business Law;;G3;1;THU;12:00;15:15;YPHSL Seminar Room 3-12;LOO WEE LING;1;15/08/2022;20/11/2022;1044;
2022-23 Term 1 / 1;LGST101;Business Law;;G4;1;FRI;12:00;15:15;YPHSL Seminar Room 3-01;LOO WEE LING;1;15/08/2022;20/11/2022;1045;
2022-23 Term 1 / 1;LGST101;Business Law;;G5;1;MON;19:00;22:15;YPHSL Seminar Room 2-15;AARON YOONG;1;15/08/2022;20/11/2022;1046;
2022-23 Term 1 / 1;LGST101;Business Law;;G51;1;THU;08:15;11:30;YPHSL Seminar Room 3-02;KOH BOON TIONG DAVID;1;15/08/2022;20/11/2022;1859;
2022-23 Term 1 / 1;LGST101;Business Law;;G6;1;TUE;19:00;22:15;YPHSL Seminar Room 2-04;AARON YOONG;1;15/08/2022;20/11/2022;1047;
2022-23 Term 1 / 1;LGST101;Business Law;;G7;1;THU;19:00;22:15;YPHSL Seminar Room 3-11;AZFER ALI KHAN;1;15/08/2022;20/11/2022;1048;
2022-23 Term 1 / 1;LGST101;Business Law;;G8;1;WED;19:00;22:15;YPHSL Seminar Room 3-11;LEO ZHI WEI;1;15/08/2022;20/11/2022;1236;
2022-23 Term 1 / 1;LGST101;Business Law;;G9;1;THU;19:00;22:15;YPHSL Seminar Room 2-04;LIEW DOMINIC JUNIOR;1;15/08/2022;20/11/2022;1049;
2022-23 Term 1 / 1;LGST101;Business Law;;SG81;1;;;;;KAM WAI WARREN BARTHOLOMEW CHIK;1;15/08/2022;20/11/2022;2586;
2022-23 Term 1 / 1;LGST101;Business Law;;SG82;1;;;;;KOH BOON TIONG DAVID;1;15/08/2022;20/11/2022;2587;
2022-23 Term 1 / 1;LGST102;The SG Legal Sys and Legal A S;;G50;1;TUE;19:00;21:15;YPHSL Seminar Room 2-15;IAN CHAI;1;15/08/2022;20/11/2022;1773;
2022-23 Term 1 / 1;LGST103;Governance Through Law In SG;;G51;1;WED;15:30;18:45;SOE/SCIS2 Seminar Room 3-2;EUGENE TAN KHENG BOON;1;15/08/2022;20/11/2022;1860;
2022-23 Term 1 / 1;LGST103;Governance Through Law In SG;;G52;1;WED;15:30;18:45;SOE/SCIS2 Seminar Room 3-4;ONG, BENJAMIN JOSHUA;1;15/08/2022;20/11/2022;2700;
2022-23 Term 1 / 1;LGST201;Company Law;;G1;1;TUE;08:15;11:30;YPHSL Seminar Room 2-05;STEPHEN BULL;1;15/08/2022;20/11/2022;1360;
2022-23 Term 1 / 1;LGST201;Company Law;;G2;1;TUE;19:00;22:15;YPHSL Seminar Room 3-11;FREDERICK SIM;1;15/08/2022;20/11/2022;1050;
